"filename", "language", "YAML", "Dart", "Markdown", "JSON", "C++", "XML", "Swift", "Groovy", "HTML", "Properties", "Kotlin", "comment", "blank", "total"
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\screens\home\components\icon_btn_with_counter.dart", "Dart", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 66
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\screens\home\components\popular_product.dart", "Dart", 0, 155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 160
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\screens\home\components\search_field.dart", "Dart", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 33
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\screens\home\components\section_title.dart", "Dart", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 37
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\screens\home\components\special_offers.dart", "Dart", 0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 125
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\screens\home\home_screen.dart", "Dart", 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 109
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\screens\itemImageViewer\itemImageView.dart", "Dart", 0, 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 125
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\screens\itemView\itemView.dart", "Dart", 0, 369, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 10, 398
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\screens\log in\background.dart", "Dart", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 81
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\screens\log in\login_page.dart", "Dart", 0, 227, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 235
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\screens\profile\components\body.dart", "Dart", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\screens\profile\components\menuProfile.dart", "Dart", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 45
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\screens\profile\components\profilePic.dart", "Dart", 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 111
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\screens\profile\components\profile_menu_button.dart", "Dart", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 65
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\screens\profile\profilePage.dart", "Dart", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 46
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\screens\search.dart", "Dart", 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 69
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\screens\search\customAppBar.dart", "Dart", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 48
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\screens\search\search_page.dart", "Dart", 0, 173, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 180
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\screens\wrapper\wrapper.dart", "Dart", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\services\auth.dart", "Dart", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 54
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\services\database.dart", "Dart", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 51
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\pubspec.yaml", "YAML", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 8, 86
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\test\widget_test.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 18, 8, 67
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\web\manifest.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23
"Total", "-", 35, 3276, 13, 207, 1, 335, 12, 83, 41, 8, 4, 270, 295, 4580
